start_time, eye_data_get_time, eye_data_pack_time, image_data_get_time, image_process_time, image_data_pack_time, end_time, iterations
1664462562093220572, 1664462562093250893, 1664462562093869622, 1664462562093305258, 1664462562097326075, 1664462562101134599, 1664462562102602320, 188
1664462562112995373, 1664462562113019949, 1664462562113506315, 1664462562113054857, 1664462562116081382, 1664462562118686729, 1664462562119871893, 189
1664462562132913019, 1664462562132931763, 1664462562133327632, 1664462562132962094, 1664462562135799445, 1664462562138371810, 1664462562139501580, 190
1664462562152917163, 1664462562152936121, 1664462562153325109, 1664462562152966208, 1664462562155908500, 1664462562158496581, 1664462562159632915, 191
1664462562172919789, 1664462562172938276, 1664462562173335207, 1664462562172968518, 1664462562175793968, 1664462562178367893, 1664462562179514142, 192
1664462562193010779, 1664462562193035416, 1664462562201732084, 1664462562200690688, 1664462562205382473, 1664462562209223890, 1664462562210739836, 193
1664462562213003688, 1664462562213028280, 1664462562213592626, 1664462562213071272, 1664462562216891731, 1664462562220224069, 1664462562221704113, 194
1664462562232976879, 1664462562232998917, 1664462562233385687, 1664462562233030438, 1664462562236017814, 1664462562238402662, 1664462562239267597, 195
1664462562252924605, 1664462562252939112, 1664462562253191663, 1664462562252963096, 1664462562254469963, 1664462562255809268, 1664462562256421333, 196
1664462562272900532, 1664462562272913078, 1664462562273147858, 1664462562272930895, 1664462562274384102, 1664462562275702911, 1664462562276332528, 197
1664462562293018393, 1664462562293032071, 1664462562293279987, 1664462562293055140, 1664462562294541786, 1664462562295872177, 1664462562296475909, 198
1664462562312894727, 1664462562312910862, 1664462562322483859, 1664462562322135473, 1664462562323506710, 1664462562324332753, 1664462562324804087, 199
1664462562332871550, 1664462562332882573, 1664462562339803795, 1664462562339604511, 1664462562340810182, 1664462562341824607, 1664462562342368459, 200
1664462562352809835, 1664462562352833359, 1664462562353038391, 1664462562352850491, 1664462562354311883, 1664462562355656300, 1664462562356281757, 201
1664462562373059645, 1664462562373094668, 1664462562373476664, 1664462562373127515, 1664462562375510184, 1664462562377632688, 1664462562378558592, 202
1664462562392988638, 1664462562393016769, 1664462562393574623, 1664462562393061279, 1664462562396727244, 1664462562400178657, 1664462562401831680, 203
1664462562412989182, 1664462562413013983, 1664462562413526365, 1664462562413053537, 1664462562416695336, 1664462562420017716, 1664462562421433789, 204
1664462562433081972, 1664462562433111763, 1664462562433724134, 1664462562433158007, 1664462562437190844, 1664462562440900262, 1664462562442453636, 205
1664462562452948251, 1664462562452975123, 1664462562463997174, 1664462562463410434, 1664462562467764629, 1664462562472118256, 1664462562473828464, 206
1664462562475631245, 1664462562475669367, 1664462562476890213, 1664462562476045540, 1664462562480711343, 1664462562483959028, 1664462562485174863, 207
1664462562492910806, 1664462562492925114, 1664462562493225661, 1664462562492947106, 1664462562494765935, 1664462562496388739, 1664462562497127367, 208
1664462562512815721, 1664462562512828358, 1664462562513101272, 1664462562512848664, 1664462562514609203, 1664462562516219175, 1664462562516950719, 209
1664462562532893117, 1664462562532909863, 1664462562533740348, 1664462562533349008, 1664462562535984597, 1664462562538247435, 1664462562539249065, 210
1664462562553073758, 1664462562553105195, 1664462562560180948, 1664462562559592110, 1664462562563780105, 1664462562567774118, 1664462562569367323, 211
